"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.138624541E0,1.116862297E-1,-2.427923679E-2,1.165199280E-2,1.148871802E-1
1.146830733E0,1.482920647E-1,-1.966726780E-2,-7.858276367E-3,1.497968303E-1
1.155037695E0,1.444454193E-1,-2.928125858E-2,-6.090641022E-3,1.475092105E-1
1.163250541E0,1.435246468E-1,-3.634142876E-2,2.379512787E-2,1.499540989E-1
1.171456656E0,1.669301987E-1,-2.640259266E-2,3.172063828E-2,1.719563521E-1
1.179696848E0,1.595039368E-1,-5.485761166E-2,6.799745560E-2,1.818640079E-1
1.187902810E0,1.734466553E-1,-6.775617599E-3,6.137943268E-2,1.841116128E-1
1.196109271E0,1.227235794E-1,-9.117960930E-3,3.799390793E-2,1.287934439E-1
1.204321733E0,1.082363129E-1,-4.413604736E-3,2.375888824E-2,1.109011456E-1
1.212527502E0,9.627056122E-2,-3.558123112E-2,2.134704590E-2,1.048319671E-1
1.220770079E0,7.968425751E-2,-3.981232643E-2,5.717992783E-2,1.058496404E-1
1.228974848E0,1.181287766E-1,-2.729237080E-2,7.390356064E-2,1.419894983E-1
1.237179771E0,1.255216599E-1,-2.443242073E-2,1.000947952E-1,1.623933444E-1
1.245388117E0,1.448659897E-1,2.196669579E-3,9.514141083E-2,1.733287869E-1
1.253591848E0,1.833486557E-1,9.581565857E-3,6.384992599E-2,1.943845390E-1
1.261829925E0,1.215195656E-1,5.271947384E-2,8.249950409E-2,1.560529267E-1
1.270033810E0,1.601347923E-1,5.981767178E-2,6.773710251E-2,1.838739259E-1
1.278239463E0,2.273950577E-1,3.149223328E-2,4.122638702E-2,2.332378357E-1
1.286448309E0,1.652379036E-1,5.267941952E-2,7.215070724E-2,1.878414506E-1
1.294651156E0,1.126708984E-1,5.447053909E-2,6.469726562E-2,1.408811810E-1
1.302890771E0,9.845495224E-2,6.833422184E-2,5.481767654E-2,1.317874089E-1
1.311094502E0,6.992864609E-2,2.699410915E-2,4.962682724E-2,8.989727167E-2
1.319297463E0,3.945922852E-2,5.052304268E-2,2.717924118E-2,6.962987655E-2
1.327506079E0,4.056549072E-2,3.579604626E-2,5.925798416E-2,8.023979469E-2
1.335711194E0,-2.691869736E-1,1.529884338E-1,1.430749893E-2,3.099545001E-1
1.343952309E0,-2.824115753E-2,9.662854671E-2,1.988792419E-2,1.026166095E-1
1.352157925E0,1.883354187E-1,7.234334946E-2,1.664161682E-2,2.024369866E-1
1.360362040E0,1.891074181E-1,7.621085644E-2,2.802085876E-2,2.058030095E-1
1.368604963E0,1.826400757E-1,7.968664169E-2,5.374383926E-2,2.063873988E-1
1.376808386E0,2.211170197E-1,1.071257591E-1,4.901123047E-2,2.505409455E-1
1.385047078E0,2.430739403E-1,7.106792927E-2,1.280593872E-1,2.837865354E-1
1.393251578E0,2.451696396E-1,9.435057640E-2,1.815114021E-1,3.193063929E-1
1.401455886E0,2.201895714E-1,6.918513775E-2,2.381272316E-1,3.316241985E-1
1.409661271E0,6.319618225E-2,8.333337307E-2,1.942586899E-1,2.206233150E-1
1.417864847E0,-9.368658066E-2,2.722847462E-2,7.104873657E-2,1.206917072E-1
1.426101694E0,-2.546186447E-1,-3.810811043E-2,-1.227712631E-2,2.577471826E-1
1.434305040E0,-3.614578247E-1,-1.310769320E-1,-3.003978729E-2,3.856621708E-1
1.442509424E0,-3.139910698E-1,-2.412850857E-1,4.232311249E-2,3.982463187E-1
1.450719309E0,-1.966285706E-1,-3.161119223E-1,1.744232178E-1,4.111119082E-1
1.458923463E0,3.590106964E-2,-3.245352507E-1,3.305959702E-1,4.646565519E-1
1.467164501E0,2.606816292E-1,-2.896531820E-1,4.372396469E-1,5.856896674E-1
1.475369155E0,4.530825615E-1,-2.108626366E-1,4.732093811E-1,6.882397674E-1
1.483574809E0,5.177311897E-1,-1.532858610E-1,3.948063850E-1,6.688902912E-1
1.491785655E0,3.086733818E-1,-2.617108822E-2,2.952342033E-1,4.279338936E-1
1.499991924E0,1.184048653E-1,6.638932228E-2,1.431808472E-1,1.973018227E-1
1.508232116E0,7.620048523E-2,3.648042679E-2,-2.047300339E-2,8.692801249E-2
1.516440116E0,1.208114624E-2,1.619768143E-2,-1.285982132E-1,1.301761092E-1
1.524647193E0,1.253890991E-2,-7.829844952E-2,-1.719965935E-1,1.893956167E-1
1.532860309E0,-8.245468140E-3,-8.880949020E-2,-1.726255417E-1,1.943056637E-1
1.541066116E0,6.977176666E-2,-1.010962725E-1,-1.643061638E-1,2.051464628E-1
