"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.483473570E-1,-2.470313549E0,-3.254009247E0,1.857443094E0,4.487885923E0
9.565558190E-1,-9.714426398E-1,-2.899727345E0,-8.800736666E-1,3.182239641E0
9.647912420E-1,5.828939676E-1,-2.319667339E0,-2.865790367E0,3.732743813E0
9.730008190E-1,8.683908582E-1,-1.874462605E0,-4.149662971E0,4.635452029E0
9.812103570E-1,3.845639825E-1,-1.666934967E0,-4.286608696E0,4.615363014E0
9.894535880E-1,-1.693513870E0,-1.797083378E0,-4.311551094E0,4.968598468E0
9.976629730E-1,-2.967174292E0,-1.609585762E0,-3.363323927E0,4.765169193E0
1.005896472E0,-1.692183614E0,-1.458745003E0,-1.151566505E0,2.513469272E0
1.014106357E0,-6.145423651E-1,-6.041374207E-1,1.709734201E-1,8.785648820E-1
1.022316472E0,-3.075657785E-1,7.809543610E-2,6.300879121E-1,7.054830843E-1
1.030526895E0,-3.964464068E-1,2.677907944E-1,1.230845213E0,1.320553521E0
1.038736742E0,-1.321895599E0,4.178037643E-1,1.425642252E0,1.988573306E0
1.046976049E0,-1.885404110E0,3.009681702E-1,1.032560706E0,2.170601785E0
1.055185511E0,-1.583377481E0,2.240753174E-2,6.105381250E-1,1.697157372E0
1.063396357E0,-1.293817043E0,-2.199440002E-1,4.948454499E-1,1.402572609E0
1.071613126E0,-1.111542940E0,-3.622808456E-1,4.182386994E-1,1.241651613E0
1.079823472E0,-9.188842177E-1,-4.868640900E-1,3.749098182E-1,1.105414954E0
1.088065818E0,-7.358207107E-1,-5.634813309E-1,2.119911909E-1,9.507279282E-1
1.096277280E0,-4.140565991E-1,-6.287117004E-1,3.302454948E-3,7.528161633E-1
1.104530549E0,1.240122318E-2,-7.550392151E-1,-9.268486500E-2,7.608077884E-1
1.112743511E0,3.119841814E-1,-7.364263535E-1,-2.468919754E-1,8.370266131E-1
1.120954164E0,6.157450676E-1,-7.297344208E-1,-2.222368717E-1,9.803282819E-1
1.129204434E0,9.390218854E-1,-6.547870636E-1,-3.989946842E-2,1.145469409E0
1.137416087E0,1.190193176E0,-4.964160919E-1,1.150677204E-1,1.294692749E0
1.145627703E0,1.346223116E0,-3.071708679E-1,2.572535276E-1,1.404581787E0
1.153848164E0,1.411581278E0,-5.153751373E-2,3.270105124E-1,1.449880579E0
1.162060587E0,1.484712005E0,2.676372528E-1,2.421005964E-1,1.527943760E0
1.170303164E0,1.652796268E0,3.980197906E-1,1.433186531E-1,1.706076052E0
1.178512472E0,1.771094203E0,4.476995468E-1,1.492453814E-1,1.832889452E0
1.186724356E0,1.921031952E0,4.882688522E-1,1.621893644E-1,1.988737193E0
1.194946703E0,1.966484547E0,2.994394302E-1,1.561524868E-1,1.995271672E0
1.203157702E0,1.588434458E0,-1.151561737E-2,1.064469814E-1,1.592038817E0
1.211407856E0,2.789502144E-1,-2.061529160E-1,1.967077255E-1,3.987557851E-1
1.219617933E0,-4.997739792E-1,-3.148441315E-1,3.669723272E-1,6.953916496E-1
1.227827510E0,-7.080413103E-1,-3.943958282E-1,4.236365557E-1,9.145154442E-1
1.236052779E0,-7.121596336E-1,-4.109525681E-1,3.683393002E-1,9.009590429E-1
1.244261856E0,-6.361230612E-1,-3.833980560E-1,3.058276176E-1,8.032292014E-1
1.252502741E0,-7.694461346E-1,-4.845323563E-1,1.337007284E-1,9.190728171E-1
1.260712241E0,-6.101810932E-1,-5.075769424E-1,-2.976584435E-2,7.942552011E-1
1.268923856E0,-5.093827248E-1,-2.684841156E-1,1.807749271E-2,5.760913785E-1
1.277144856E0,-5.010746717E-1,-5.425033569E-1,-1.800072193E-2,7.387216965E-1
1.285358125E0,-3.181695938E-1,-8.447418213E-1,-2.129361629E-1,9.274494296E-1
1.293607818E0,-2.818651199E-1,-1.027266502E0,-3.544685841E-1,1.122663079E0
1.301819125E0,-2.818183899E-1,-1.106373787E0,-3.386733532E-1,1.190875393E0
1.310029164E0,-2.148354053E-1,-1.189813614E0,-2.189441919E-1,1.228717724E0
1.318248048E0,-2.551963329E-1,-1.356457233E0,-1.816327572E-1,1.392153674E0
1.326458856E0,-9.581756592E-2,-1.504676819E0,-2.970610857E-1,1.536710325E0
1.334700048E0,1.482486725E-1,-1.398890495E0,-4.201517105E-1,1.468127974E0
1.342909971E0,-9.982323647E-2,-1.482763767E0,-7.903838158E-2,1.488220459E0
1.351158548E0,-7.529225349E-1,-1.764497757E0,6.983473301E-1,2.041576271E0
1.359397394E0,-9.498875141E-1,-1.383957386E0,4.802423716E-1,1.745925849E0
1.367605856E0,-6.621229649E-1,-7.416591644E-1,-3.282527924E-1,1.047002881E0
1.375851433E0,-6.273307800E-1,-3.021259308E-1,-6.996245384E-1,9.870655907E-1
1.384061048E0,-7.620015144E-1,7.698345184E-2,-6.778428555E-1,1.022762776E0
1.392269356E0,-1.040354490E0,1.195459366E-1,-4.147593975E-1,1.126345442E0
1.400493702E0,-1.269953012E0,-5.694456100E-1,-1.719796658E-1,1.402364418E0
1.408700740E0,-1.407943964E0,-1.541063786E0,1.609504223E-1,2.093582775E0
1.416925779E0,-1.404798508E0,-2.255856514E0,3.926393986E-1,2.686356856E0
1.425133663E0,-1.195811033E0,-2.780371189E0,6.630682945E-1,3.098400804E0
1.433341279E0,-8.465974331E-1,-3.040519714E0,7.267477512E-1,3.238772860E0
1.441580471E0,-2.687625885E-1,-3.207946301E0,3.302431107E-1,3.236079929E0
1.449787702E0,2.755322456E-1,-3.221656799E0,-3.507490158E-1,3.252386112E0
1.458025471E0,6.320333481E-1,-2.921818733E0,-9.169251919E-1,3.126858275E0
1.466234240E0,9.229226112E-1,-2.667374134E0,-1.314146280E0,3.113462921E0
1.474443509E0,1.301986217E0,-2.423857212E0,-1.431218624E0,3.101393017E0
1.482694124E0,1.387170315E0,-2.055500507E0,-1.476987600E0,2.886315331E0
1.490902894E0,1.681497574E0,-1.836307049E0,-1.632236958E0,2.977189136E0
1.499134201E0,2.200366497E0,-1.612926483E0,-1.743740320E0,3.237865789E0
1.507342894E0,2.588992596E0,-1.109414577E0,-1.629976034E0,3.254305646E0
1.515550201E0,2.370132446E0,-3.639373779E-1,-1.484306335E0,2.820131828E0
1.523759201E0,1.346717834E0,4.304881096E-1,-1.149536848E0,1.822197548E0
1.531967778E0,-2.030658722E-2,9.232439995E-1,-6.145353317E-1,1.109254486E0
1.540209586E0,-8.149566650E-1,9.015398026E-1,-2.489819527E-1,1.240532303E0
1.548417701E0,-9.975867271E-1,6.419458389E-1,6.388602257E-1,1.347373789E0
1.556624855E0,-4.938097000E-1,3.938608170E-1,9.453659058E-1,1.136965725E0
1.564841586E0,-3.545904160E-2,6.523661613E-1,1.132492781E0,1.307432159E0
1.573048701E0,5.655937195E-1,2.599009037E0,1.047429442E0,2.858645250E0
1.581283547E0,1.954719067E0,4.679996490E0,1.725184917E-1,5.074746931E0
1.589491432E0,2.292724609E0,4.724492073E0,2.733209133E-1,5.258527912E0
1.597740855E0,1.137397766E0,2.678879738E0,1.922030449E-1,2.916678306E0
1.605977162E0,6.215660572E0,-1.177001476E0,-6.675132275E0,9.196584132E0
1.614185086E0,3.280537128E0,-3.449615717E0,-4.176120281E0,6.332594496E0
1.622417124E0,3.480971813E0,-4.403171062E0,-4.701860428E0,7.322060615E0
1.630625893E0,6.117963791E0,-4.142421246E0,-2.437912464E0,7.780266827E0
1.638835778E0,4.266239643E0,-2.328517914E0,-2.632720947E0,5.527568720E0
1.647080470E0,4.445277691E0,-1.037760019E0,-4.985822678E0,6.759871846E0
1.655290932E0,3.124376297E0,-7.306108475E-1,-3.287041903E0,4.593491474E0
1.663515508E0,2.671770096E0,-6.042990685E-1,-2.194594145E0,3.509953884E0
1.671724470E0,4.184306145E0,-8.578093052E-1,-2.904806852E0,5.165477477E0
1.679934239E0,2.514780045E0,-1.200216293E0,-2.345562935E0,3.642293687E0
1.688174047E0,2.076090813E0,-1.176387310E0,-4.109940529E0,4.752436356E0
1.696384739E0,1.527799606E0,-1.006747246E0,-4.123300552E0,4.511021957E0
1.704625162E0,8.033647537E-1,-6.543340683E-1,-1.707584620E0,1.997346548E0
1.712833970E0,1.554461479E0,2.123308182E-2,-1.613092661E0,2.240283301E0
1.721044277E0,2.469691277E0,-3.934144974E-2,-1.153104544E0,2.725907709E0
1.729294354E0,2.744889259E0,-1.062965393E-1,-2.503396749E0,3.716545612E0
1.737503124E0,1.804794312E0,2.010226250E-1,-3.944922686E0,4.342822538E0
1.745730354E0,2.772407532E-1,4.915399551E-1,-3.609172583E0,3.653026238E0
1.753939508E0,-4.852352142E-1,5.707554817E-1,-2.520333767E0,2.629314993E0
1.762148585E0,-7.291479111E-1,7.483534813E-1,-5.314066410E-1,1.172212706E0
1.770385662E0,-1.161433220E0,9.968571663E-1,8.158079982E-1,1.734414606E0
1.778594931E0,-1.280376434E0,1.289263725E0,8.034795523E-1,1.986742096E0
1.786834777E0,-7.544078827E-1,9.352078438E-1,1.013957500E0,1.572213337E0
1.795043969E0,-6.440162659E-3,2.216682434E-1,1.081046104E0,1.103557414E0
1.803251969E0,1.994361877E-1,-2.316169739E-1,8.905713558E-1,9.415617640E-1
1.811503162E0,-8.080635071E-1,-4.981436729E-1,3.467711210E-1,1.010625529E0
1.819711892E0,-9.381842613E-1,-1.126009703E0,9.527508020E-1,1.748090858E0
1.827942200E0,-3.606824875E-1,-1.929341316E0,2.219841480E0,2.963131109E0
1.836149700E0,-1.707296371E-1,-2.245718956E0,3.217252254E0,3.927227305E0
1.844399931E0,1.332187653E-2,-3.009219170E0,3.113443613E0,4.330024089E0
1.852610815E0,-1.061383724E0,-4.754993916E0,-1.881524026E-1,4.875643945E0
1.860819969E0,-2.285597324E0,-3.423657417E0,-4.475592613E0,6.080815281E0
1.869059431E0,-5.583629608E-1,-1.042052984E0,-5.976061821E0,6.091876436E0
1.877267469E0,1.099731445E0,-9.379301071E-1,8.826147318E-1,1.693555698E0
1.885476508E0,4.079808235E0,-2.429868221E0,4.085542202E0,6.264243761E0
1.893725469E0,3.700237274E0,-3.808247566E0,3.006179810E0,6.101772075E0
1.901933354E0,1.970313072E0,-4.190475464E0,8.857131004E-2,4.631421282E0
1.910157584E0,2.523517609E-1,-3.223985910E0,-9.815429449E-1,3.379525575E0
1.918365777E0,-2.275657654E-1,-3.098001480E-1,-6.261917353E-1,7.347641789E-1
1.926574623E0,1.017620087E0,3.607374668E0,-1.610623598E-1,3.751618813E0
1.934814623E0,2.918786049E0,5.640478134E0,-4.556692839E-1,6.367255302E0
1.943024161E0,3.186209679E0,4.193647861E0,-2.423298597E0,5.797498650E0
1.951257315E0,1.762844086E0,8.605713844E-1,-3.194946289E0,3.749117785E0
1.959466123E0,8.570671082E-1,-1.959116697E0,-7.114088535E-2,2.139570818E0
