"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.827211331E0,5.650241852E0,-2.309973717E0,-6.072964191E0,8.610581027E0
1.835427215E0,5.617418289E0,1.330388069E0,-7.898961067E0,9.783603967E0
1.843636177E0,4.071757793E0,5.723481178E0,-9.679141998E0,1.195923234E1
1.851844369E0,2.002560139E0,8.617826462E0,-1.176897335E1,1.472365151E1
1.860053638E0,-1.282062531E-1,9.721823692E0,-1.001377010E1,1.395728786E1
1.868271061E0,-1.704545736E0,9.410268784E0,-8.516015053E0,1.280551237E1
1.876479638E0,-1.596580744E0,7.476435661E0,-5.996267796E0,9.716037657E0
1.884689061E0,-4.452998638E-1,4.979171753E0,-3.826707602E0,6.295564659E0
1.892900100E0,1.709644794E-1,3.324086189E0,-2.450597525E0,4.133304498E0
1.901110099E0,4.530265331E-1,2.326266289E0,-1.661065817E0,2.894112564E0
1.909335599E0,6.676468849E-1,1.579303741E0,-1.180797935E0,2.081882906E0
1.917552099E0,9.042418003E-1,9.745674133E-1,-7.805030346E-1,1.541628964E0
1.925761946E0,1.234111547E0,4.244918823E-1,-4.342799187E-1,1.375435828E0
1.933971292E0,1.627909899E0,-8.335018158E-2,-9.909939766E-2,1.633051923E0
1.942180099E0,1.867380023E0,-6.446218491E-1,1.319382191E-1,1.979912415E0
1.950398292E0,2.086751699E0,-1.206841469E0,3.469393253E-1,2.435439566E0
1.958609599E0,2.258164406E0,-1.767083168E0,6.720992327E-1,2.945098773E0
1.966846676E0,2.170593977E0,-2.333264351E0,2.171224117E0,3.856139898E0
1.975057676E0,1.835396409E0,-2.559721470E0,3.262634277E0,4.534935105E0
1.983268138E0,1.373827457E0,-2.259325504E0,2.787355185E0,3.842044058E0
1.991496868E0,7.073056698E-1,-1.871446133E0,1.765460014E0,2.668228064E0
1.999713445E0,-2.616119385E-2,-1.496669769E0,1.007691741E0,1.804479828E0
2.007925291E0,-5.715827942E-1,-1.325567245E0,5.329065323E-1,1.538773793E0
2.016134984E0,-7.903147936E-1,-1.331787109E0,8.165504932E-1,1.750716735E0
2.024345445E0,-7.805849314E-1,-1.401846886E0,1.604836941E0,2.269358749E0
2.032564253E0,-1.002086759E0,-1.582157135E0,2.611767530E0,3.213833957E0
2.040773599E0,-1.410020709E0,-1.715866566E0,3.105597973E0,3.817996234E0
2.048982984E0,-2.018490314E0,-1.809550762E0,3.238894939E0,4.223649789E0
2.057193407E0,-2.055950642E0,-2.044040680E0,1.447099090E0,3.240236275E0
2.065404022E0,-1.831708431E0,-2.280483723E0,-2.137566090E0,3.622837365E0
2.073630099E0,-1.735051990E0,-1.967559338E0,-2.883626461E0,3.898332556E0
2.081846945E0,-4.277635813E-1,-1.936657429E0,-8.128824234E-1,2.143455507E0
2.090055214E0,6.688739061E-1,-2.086277485E0,5.846545696E-1,2.267546474E0
2.098267176E0,1.248176098E0,-2.283037186E0,1.095148087E0,2.823039442E0
2.106478637E0,1.193187714E0,-2.277821064E0,9.797424078E-1,2.751737797E0
2.114699022E0,4.928451777E-1,-2.077219486E0,6.638140678E-1,2.235707110E0
2.122910099E0,-2.792203426E-2,-1.701747417E0,5.338615179E-1,1.783741022E0
2.131120560E0,-2.912366390E-1,-1.193744659E0,5.495541096E-1,1.346051563E0
2.139330060E0,-5.390212536E-1,-4.941568375E-1,5.184412003E-1,8.963906347E-1
2.147539060E0,-2.555779219E-1,2.508449554E-1,4.564210176E-1,5.801408546E-1
2.155765983E0,5.958701372E-1,7.509565353E-1,4.730979204E-1,1.069026932E0
2.163983714E0,1.233943939E0,1.071599960E0,5.690286160E-1,1.730531042E0
2.172193098E0,1.244665623E0,1.371523857E0,6.975175142E-1,1.979090924E0
2.180402137E0,1.059141755E0,1.782265663E0,8.381260633E-1,2.236226162E0
2.188612406E0,7.886370420E-1,2.393922806E0,1.059157252E0,2.733976750E0
2.196830714E0,6.763590574E-1,3.053668022E0,1.851154566E0,3.634435746E0
2.205038791E0,9.530767202E-1,3.709416389E0,3.141102076E0,4.953246151E0
2.213272983E0,1.544446588E0,3.965367317E0,4.986669540E0,6.555633175E0
2.221482329E0,1.303290367E0,3.938138008E0,6.308985233E0,7.550549081E0
2.229692598E0,5.277273655E-1,4.068344116E0,6.004673958E0,7.272278141E0
2.237918752E0,4.387974739E-1,4.300380707E0,4.822011948E0,6.475925931E0
2.246136060E0,5.940431356E-1,4.804682732E0,3.311124325E0,5.865271323E0
2.254344829E0,9.898986816E-1,5.272944450E0,2.269714832E0,5.825413976E0
2.262554213E0,1.252952814E0,5.440945625E0,2.047250509E0,5.946849140E0
2.270763213E0,1.399490118E0,5.070998192E0,2.523667574E0,5.834594525E0
2.278981098E0,1.628899217E0,4.610636711E0,3.033741713E0,5.754552313E0
2.287190598E0,1.598599315E0,4.825547218E0,4.234094620E0,6.615813100E0
2.295401944E0,1.540361524E0,5.449069023E0,7.346891165E-1,5.710064355E0
2.303612829E0,7.193077207E-1,5.411741257E0,-3.655764341E0,6.570308969E0
2.311820367E0,-8.619797230E-2,4.471507072E0,-2.486798286E0,5.117223007E0
2.320046752E0,-1.107554555E0,3.827371597E0,2.828970432E0,4.886565680E0
2.328262290E0,-1.541504025E0,3.697540283E0,5.963025570E0,7.183711628E0
2.336470752E0,-1.322696805E0,3.235856056E0,4.434536934E0,5.646716663E0
2.344678444E0,2.049880028E-1,2.685678482E0,1.712288022E0,3.191679693E0
2.352884405E0,1.241871953E0,2.435465813E0,7.570435107E-2,2.734862121E0
2.361099136E0,1.622563243E0,2.915737152E0,-9.251795411E-1,3.462685634E0
2.369307905E0,1.552413821E0,3.949055672E0,-1.716571927E0,4.577297079E0
2.377516675E0,1.179448009E0,4.993313789E0,-1.932656169E0,5.482649001E0
2.385727405E0,1.073675156E-1,5.994272232E0,-2.027166843E0,6.328683338E0
2.393939444E0,-1.866282344E0,6.717040062E0,-2.528155327E0,7.415740444E0
2.402167636E0,-3.995935917E0,6.755026817E0,-2.595276356E0,8.266398884E0
2.410385790E0,-8.070339203E0,6.142019272E0,-3.850424051E0,1.084806623E1
2.418596021E0,-1.197143555E1,5.389498711E0,-5.426944733E0,1.420611469E1
2.426805482E0,-1.377390671E1,4.659935951E0,-4.668268204E0,1.527181185E1
2.435014290E0,-1.290405273E1,3.223785400E0,-5.222685337E-1,1.331090281E1
2.443233482E0,-7.115503788E0,1.779912949E0,-1.921087146E0,7.582154053E0
2.451444059E0,-3.117062807E0,7.211236954E-1,-2.854014635E0,4.287365096E0
2.459680174E0,-1.375841856E0,2.879810333E-1,-3.243582487E0,3.535067360E0
2.467889097E0,-7.136518955E-1,9.884071350E-2,-3.269858122E0,3.348289213E0
2.476097867E0,-2.752385139E-1,-4.023218155E-1,-3.362839937E0,3.397986393E0
2.484322213E0,-4.031155109E-1,-4.909591675E-1,-3.626871109E0,3.682083250E0
2.492539943E0,-7.660868168E-1,-3.724231720E-1,-3.664991140E0,3.762678313E0
2.500751905E0,-4.733542204E-1,-6.196069717E-1,-3.593698740E0,3.677315278E0
2.508961097E0,6.311602592E-1,-1.529429913E0,-3.515542984E0,3.885429397E0
2.517171059E0,1.833763242E0,-2.884027004E0,-3.811770201E0,5.119559693E0
2.525389212E0,2.124801397E0,-3.955520630E0,-4.523533344E0,6.373639333E0
2.533597482E0,1.635861993E0,-4.724628925E0,-5.388727188E0,7.350955288E0
2.541806520E0,8.730472326E-1,-5.330519676E0,-5.880378246E0,7.984704115E0
2.550015866E0,-3.059625626E-3,-5.679256916E0,-6.333667278E0,8.507015321E0
2.558224097E0,-6.435840130E-1,-5.920026779E0,-6.456192970E0,8.783128436E0
2.566448866E0,-1.107383609E0,-6.092992306E0,-6.084963322E0,8.682029274E0
2.574665828E0,-1.375441909E0,-6.171121120E0,-5.824357033E0,8.596377794E0
2.582878135E0,-1.691932917E0,-6.165174484E0,-5.429127693E0,8.387338131E0
2.591089674E0,-1.962971568E0,-6.084756851E0,-5.070172787E0,8.159912708E0
2.599299866E0,-2.156682253E0,-6.104831219E0,-4.757463932E0,8.034532072E0
2.607517481E0,-2.155515909E0,-6.197628021E0,-4.477142334E0,7.943654411E0
2.615726020E0,-2.026541710E0,-6.423721313E0,-4.390480518E0,8.040359818E0
2.623934097E0,-1.780440569E0,-6.557298660E0,-4.517755508E0,8.159549569E0
2.632143789E0,-1.369088411E0,-6.635457039E0,-4.504197121E0,8.135814950E0
