"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.759597300E-1,5.619960278E-2,-4.886921868E-2,-9.285151958E-2,1.190294106E-1
3.783544050E-1,5.497787148E-2,-4.764748737E-2,-9.529497474E-2,1.198915411E-1
3.802292300E-1,5.436700583E-2,-4.703662544E-2,-9.468411654E-2,1.188835455E-1
3.823609820E-1,5.558873713E-2,-4.886921868E-2,-9.468411654E-2,1.201806563E-1
3.842756530E-1,5.375614017E-2,-4.825835302E-2,-9.712757170E-2,1.210469183E-1
3.865804440E-1,5.070181563E-2,-4.825835302E-2,-9.651670605E-2,1.192267474E-1
3.882909610E-1,4.886921868E-2,-5.070181563E-2,-9.590584040E-2,1.189823721E-1
3.905727900E-1,4.764748737E-2,-5.253441259E-2,-9.712757170E-2,1.202660083E-1
3.923933460E-1,4.764748737E-2,-5.375614017E-2,-9.590584040E-2,1.198246047E-1
3.947442900E-1,4.825835302E-2,-5.742133409E-2,-9.712757170E-2,1.227185537E-1
3.965161530E-1,4.459316283E-2,-6.108652428E-2,-9.773843735E-2,1.235836387E-1
3.988471360E-1,4.214970022E-2,-6.108652428E-2,-9.773843735E-2,1.227231144E-1
4.007633840E-1,4.214970022E-2,-6.414084882E-2,-1.038470939E-1,1.291311915E-1
4.029550970E-1,4.153883830E-2,-6.841690838E-2,-1.062905490E-1,1.330564890E-1
4.048823840E-1,4.092797264E-2,-7.330382615E-2,-1.081231460E-1,1.368910683E-1
4.070429820E-1,3.848451003E-2,-8.185594529E-2,-1.099557430E-1,1.423787860E-1
4.088295380E-1,3.726277873E-2,-8.491026610E-2,-1.081231460E-1,1.424390490E-1
4.111659050E-1,3.726277873E-2,-9.468411654E-2,-1.117883399E-1,1.511629238E-1
4.129317300E-1,3.787364438E-2,-1.050688252E-1,-1.154535338E-1,1.606343346E-1
4.152058280E-1,3.787364438E-2,-1.172861308E-1,-1.209513173E-1,1.726837299E-1
4.170300760E-1,3.726277873E-2,-1.246165112E-1,-1.233947799E-1,1.792876494E-1
4.194211360E-1,3.848451003E-2,-1.380555481E-1,-1.264491081E-1,1.911276244E-1
4.212795380E-1,3.848451003E-2,-1.539380401E-1,-1.301143020E-1,2.052016309E-1
4.234353660E-1,3.726277873E-2,-1.698205322E-1,-1.350012124E-1,2.201200926E-1
4.252876150E-1,3.909537569E-2,-1.802052408E-1,-1.380555481E-1,2.303512787E-1
4.276529820E-1,4.092797264E-2,-1.936442852E-1,-1.435533315E-1,2.445010575E-1
4.293545760E-1,4.092797264E-2,-2.125810981E-1,-1.527163088E-1,2.649303554E-1
4.316438280E-1,4.398229718E-2,-2.406809032E-1,-1.594358236E-1,2.920300010E-1
4.336140760E-1,4.886921868E-2,-2.681698501E-1,-1.551597714E-1,3.136523931E-1
4.358168660E-1,5.986479297E-2,-3.237585723E-1,-1.502728462E-1,3.619189618E-1
4.376260760E-1,7.391469181E-2,-3.622430861E-1,-1.600466967E-1,4.028627312E-1
4.399192510E-1,8.307767659E-2,-3.897320330E-1,-1.740965992E-1,4.348592689E-1
4.417909610E-1,8.857546002E-2,-3.995058835E-1,-1.820378453E-1,4.478708967E-1
4.440257130E-1,9.957103431E-2,-4.105014503E-1,-1.991420686E-1,4.669939990E-1
4.459957130E-1,1.075122803E-1,-4.135557711E-1,-2.156354338E-1,4.786291953E-1
4.481122130E-1,1.105666086E-1,-4.129449129E-1,-2.254092693E-1,4.832781960E-1
4.498912300E-1,1.240056455E-1,-4.105014503E-1,-2.431243658E-1,4.929485755E-1
4.522349050E-1,1.343903542E-1,-4.031710625E-1,-2.596177161E-1,4.980050516E-1
4.540116920E-1,1.453859210E-1,-3.958406746E-1,-2.718350291E-1,5.017182364E-1
4.562739430E-1,1.551597714E-1,-3.946189582E-1,-2.797762752E-1,5.080092923E-1
4.582066920E-1,1.698205322E-1,-3.872885704E-1,-2.907718420E-1,5.132053332E-1
4.604891740E-1,1.912008226E-1,-3.811798990E-1,-3.005456924E-1,5.217121651E-1
4.623042690E-1,1.985312104E-1,-3.817907870E-1,-3.029891551E-1,5.262901050E-1
4.644947120E-1,2.174680233E-1,-3.775147200E-1,-3.121521473E-1,5.359558452E-1
4.663582690E-1,2.364048511E-1,-3.738495409E-1,-3.188716471E-1,5.452796165E-1
4.687133280E-1,2.608394623E-1,-3.744603992E-1,-3.225368559E-1,5.588271996E-1
4.704261530E-1,2.736676335E-1,-3.769038618E-1,-3.268128932E-1,5.689966272E-1
4.727047890E-1,2.993239760E-1,-3.836233616E-1,-3.384193480E-1,5.926967026E-1
4.747399430E-1,3.262020350E-1,-3.842342496E-1,-3.512475193E-1,6.143439964E-1
4.768362510E-1,3.536909819E-1,-3.830125034E-1,-3.634648323E-1,6.355332979E-1
4.785725760E-1,3.683517575E-1,-3.750712574E-1,-3.665191531E-1,6.408570472E-1
4.809039430E-1,3.903428912E-1,-3.677408695E-1,-3.726277947E-1,6.530332252E-1
4.828210380E-1,4.062253833E-1,-3.622430861E-1,-3.811798990E-1,6.644826791E-1
4.850114430E-1,4.367686510E-1,-3.549126983E-1,-3.927863538E-1,6.863024098E-1
4.869470380E-1,4.453207552E-1,-3.494149148E-1,-3.976732790E-1,6.917697555E-1
4.890986350E-1,4.703662395E-1,-3.402519524E-1,-4.111123085E-1,7.113572384E-1
4.909397690E-1,4.948008358E-1,-3.310889602E-1,-4.257730842E-1,7.319361215E-1
4.932221740E-1,5.070181489E-1,-3.255911767E-1,-4.343251884E-1,7.427754620E-1
4.949908070E-1,5.314527750E-1,-3.237585723E-1,-4.483750761E-1,7.670083924E-1
4.972612120E-1,5.583308339E-1,-3.298672438E-1,-4.691445231E-1,8.004013382E-1
4.991691530E-1,5.962044597E-1,-3.329215646E-1,-4.935791194E-1,8.425656491E-1
5.014770200E-1,6.084218025E-1,-3.353650272E-1,-5.039638281E-1,8.582693815E-1
5.033319610E-1,6.298020482E-1,-3.408628106E-1,-5.222898126E-1,8.863547393E-1
5.054901350E-1,6.560692787E-1,-3.457497358E-1,-5.338962078E-1,9.137915184E-1
5.073926920E-1,6.860016584E-1,-3.549126983E-1,-5.467243791E-1,9.462921565E-1
5.097077120E-1,6.951646209E-1,-3.616322279E-1,-5.546656251E-1,9.600446209E-1
5.114594990E-1,7.312057018E-1,-3.762930036E-1,-5.662720799E-1,9.984599498E-1
5.136995200E-1,7.531968355E-1,-3.952298164E-1,-5.888741016E-1,1.034545692E0
5.155240760E-1,7.770205736E-1,-4.050036669E-1,-6.004805565E-1,1.062245659E0
5.178726350E-1,8.026769161E-1,-4.202753007E-1,-6.310238242E-1,1.104134334E0
5.196460380E-1,8.307767510E-1,-4.361577928E-1,-6.603453159E-1,1.147379434E0
5.219764430E-1,8.570439219E-1,-4.550946057E-1,-6.994407177E-1,1.196182554E0
5.239480200E-1,8.765916228E-1,-4.795292318E-1,-7.525860071E-1,1.250898419E0
5.260829050E-1,9.181304574E-1,-5.406157374E-1,-8.491026759E-1,1.362425876E0
5.278924610E-1,9.498954415E-1,-6.126978397E-1,-9.382890463E-1,1.469042657E0
