"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.775660980E-1,7.458664775E-1,-1.973094791E-1,-5.681046844E-2,7.736118291E-1
3.793635000E-1,7.232644558E-1,-1.918116808E-1,-3.848451003E-2,7.492557984E-1
3.816695600E-1,6.976081133E-1,-1.857030392E-1,-2.076941915E-2,7.222008497E-1
3.836213850E-1,6.725626588E-1,-1.777617931E-1,-4.276056774E-3,6.956709493E-1
3.857822130E-1,6.609562039E-1,-1.734857261E-1,-1.221730490E-3,6.833461007E-1
3.875793080E-1,6.365215778E-1,-1.594358236E-1,1.160643995E-2,6.562882068E-1
3.898687520E-1,6.090326309E-1,-1.441642046E-1,2.076941915E-2,6.262071799E-1
3.916477310E-1,5.943718553E-1,-1.356120855E-1,2.260201424E-2,6.100650712E-1
3.939917520E-1,5.699372888E-1,-1.148426682E-1,2.809980139E-2,5.820712589E-1
3.959152310E-1,5.412266254E-1,-9.651670605E-2,2.809980139E-2,5.504828185E-1
3.980312900E-1,5.106833577E-1,-7.574728876E-2,2.687807009E-2,5.169696067E-1
3.998607690E-1,4.972442985E-1,-6.352998316E-2,2.565634064E-2,5.019424259E-1
4.022479060E-1,4.636467099E-1,-4.031710699E-2,2.076941915E-2,4.658595384E-1
4.041139610E-1,4.300491214E-1,-1.343903504E-2,1.404990070E-2,4.304883903E-1
4.062571750E-1,3.958406746E-1,1.343903504E-2,5.497787148E-3,3.961068960E-1
4.081207310E-1,3.793473244E-1,2.748893574E-2,0.000000000E0,3.803419962E-1
4.104749830E-1,3.439171314E-1,5.375614017E-2,-9.773843922E-3,3.482301594E-1
4.121796920E-1,3.152064681E-1,8.429940045E-2,-2.076941915E-2,3.269447587E-1
4.144672130E-1,2.852740586E-1,1.154535338E-1,-3.359758854E-2,3.095797231E-1
4.162867690E-1,2.718350291E-1,1.307251602E-1,-4.276056588E-2,3.046503185E-1
4.186425590E-1,2.443460971E-1,1.631010175E-1,-5.681046844E-2,2.992229710E-1
4.204005770E-1,2.235766798E-1,1.887573600E-1,-7.208210230E-2,3.013498004E-1
4.227438670E-1,2.028072625E-1,2.125810981E-1,-8.491026610E-2,3.058288121E-1
4.246364610E-1,1.954768747E-1,2.254092693E-1,-9.224065393E-2,3.122961503E-1
4.268587900E-1,1.832595766E-1,2.419026345E-1,-1.099557430E-1,3.227866515E-1
4.286432690E-1,1.722639948E-1,2.571742535E-1,-1.246165112E-1,3.336806189E-1
4.309442520E-1,1.673770845E-1,2.645046413E-1,-1.319468915E-1,3.396877623E-1
4.327217690E-1,1.667662114E-1,2.669481039E-1,-1.459967941E-1,3.469687642E-1
4.350676360E-1,1.685988009E-1,2.712241709E-1,-1.521054506E-1,3.537289565E-1
4.368453460E-1,1.740965992E-1,2.687807083E-1,-1.563815027E-1,3.563816345E-1
4.391060210E-1,1.777617931E-1,2.638937831E-1,-1.551597714E-1,3.539968058E-1
4.409426150E-1,1.899790913E-1,2.590068579E-1,-1.490511149E-1,3.541085178E-1
4.433208670E-1,2.095267773E-1,2.565633953E-1,-1.435533315E-1,3.610177352E-1
4.451521150E-1,2.168571651E-1,2.547308207E-1,-1.398881376E-1,3.626065527E-1
4.473305590E-1,2.388483137E-1,2.486221492E-1,-1.350012124E-1,3.702523698E-1
4.492080770E-1,2.602286041E-1,2.474004179E-1,-1.240056455E-1,3.798727330E-1
4.515483670E-1,2.907718420E-1,2.400700450E-1,-1.172861308E-1,3.948897657E-1
