"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.229673900E-1,8.185594529E-2,-1.142318025E-1,-6.291911751E-2,1.539743999E-1
2.249293520E-1,7.635815442E-2,-1.130100712E-1,-6.536258012E-2,1.512418951E-1
2.267784990E-1,7.208210230E-2,-1.166752651E-1,-7.086037099E-2,1.543701368E-1
2.289977750E-1,6.536258012E-2,-1.178969890E-1,-7.147123665E-2,1.525781916E-1
2.309364230E-1,6.291911751E-2,-1.209513173E-1,-7.452555746E-2,1.553772673E-1
2.331489670E-1,5.681046844E-2,-1.252273768E-1,-7.757988572E-2,1.578859205E-1
2.349373460E-1,4.764748737E-2,-1.362229437E-1,-8.002334833E-2,1.650173012E-1
2.372055830E-1,4.398229718E-2,-1.404990107E-1,-7.880161703E-2,1.669853566E-1
2.391200760E-1,3.359758854E-2,-1.582140923E-1,-8.307767659E-2,1.818306830E-1
2.413091210E-1,2.687807009E-2,-1.722639948E-1,-8.491026610E-2,1.939254183E-1
2.434516980E-1,1.771509275E-2,-1.863138974E-1,-8.674286306E-2,2.062789789E-1
2.453521980E-1,1.527163107E-2,-1.905899495E-1,-8.857546002E-2,2.107210566E-1
2.472198070E-1,4.886921961E-3,-2.058615834E-1,-8.735372871E-2,2.236817995E-1
2.494202750E-1,-4.276056774E-3,-2.107485086E-1,-8.796459436E-2,2.284096942E-1
2.512448460E-1,-7.330383174E-3,-2.156354338E-1,-8.674286306E-2,2.325439724E-1
2.535709290E-1,-1.527163107E-2,-2.247984111E-1,-8.613199741E-2,2.412183022E-1
2.554385380E-1,-2.382374369E-2,-2.296853364E-1,-8.613199741E-2,2.464582023E-1
2.576267750E-1,-2.993239649E-2,-2.339613885E-1,-8.674286306E-2,2.513129602E-1
2.594749230E-1,-3.176499158E-2,-2.370157093E-1,-8.735372871E-2,2.545901315E-1
2.617306980E-1,-3.604105115E-2,-2.425135076E-1,-8.796459436E-2,2.604794207E-1
2.638314670E-1,-3.909537569E-2,-2.419026345E-1,-9.040805697E-2,2.611875758E-1
2.657916980E-1,-4.153883830E-2,-2.431243658E-1,-8.979719132E-2,2.624851765E-1
2.675839220E-1,-4.276056588E-2,-2.467895597E-1,-9.040805697E-2,2.662840017E-1
2.698611980E-1,-4.276056588E-2,-2.498438805E-1,-8.613199741E-2,2.677109479E-1
2.717768460E-1,-3.970624134E-2,-2.492330223E-1,-8.429940045E-2,2.660828329E-1
2.740126980E-1,-3.543018550E-2,-2.461786866E-1,-8.124507964E-2,2.616486322E-1
2.757906920E-1,-2.687807009E-2,-2.474004179E-1,-7.635815442E-2,2.603074436E-1
2.780686980E-1,-2.015855350E-2,-2.455678284E-1,-7.269296050E-2,2.568933478E-1
2.799767690E-1,-9.773843922E-3,-2.455678284E-1,-6.658431143E-2,2.546223810E-1
2.821722750E-1,-4.276056774E-3,-2.455678284E-1,-6.108652428E-2,2.530877446E-1
2.843151980E-1,8.552113548E-3,-2.437352389E-1,-5.314527452E-2,2.496085446E-1
2.862170050E-1,2.443460934E-2,-2.437352389E-1,-4.459316283E-2,2.489828649E-1
2.881298070E-1,3.726277873E-2,-2.382374406E-1,-3.848451003E-2,2.441856881E-1
2.902856210E-1,4.886921868E-2,-2.339613885E-1,-3.481931984E-2,2.415336765E-1
2.921071150E-1,6.047565863E-2,-2.278527319E-1,-2.932153270E-2,2.375582561E-1
2.944361210E-1,7.147123665E-2,-2.217440903E-1,-2.626720630E-2,2.344537169E-1
2.963559610E-1,7.757988572E-2,-2.156354338E-1,-2.504547499E-2,2.305310278E-1
2.984917750E-1,8.368854225E-2,-2.034181207E-1,-2.015855350E-2,2.208824828E-1
3.003528460E-1,8.735372871E-2,-1.905899495E-1,-1.893682219E-2,2.105084464E-1
3.026252360E-1,9.590584040E-2,-1.789835095E-1,-1.954768784E-2,2.039978897E-1
3.047253130E-1,9.529497474E-2,-1.722639948E-1,-2.260201424E-2,1.981586919E-1
3.066871590E-1,9.834930301E-2,-1.655444801E-1,-2.260201424E-2,1.938773100E-1
3.085083460E-1,9.896016866E-2,-1.576032341E-1,-2.871066704E-2,1.882981592E-1
3.107563130E-1,9.957103431E-2,-1.496619880E-1,-2.993239649E-2,1.822335038E-1
3.126706150E-1,1.007927656E-1,-1.453859210E-1,-3.543018550E-2,1.804204691E-1
3.149066210E-1,1.020144969E-1,-1.362229437E-1,-3.787364438E-2,1.743503969E-1
3.166796920E-1,1.026253626E-1,-1.258382350E-1,-4.092797264E-2,1.674584288E-1
3.189617750E-1,1.020144969E-1,-1.221730486E-1,-4.214970022E-2,1.646505652E-1
3.208764220E-1,9.957103431E-2,-1.160643995E-1,-4.581489414E-2,1.596381540E-1
3.230644670E-1,1.007927656E-1,-1.087340117E-1,-5.009094998E-2,1.564971890E-1
3.252073130E-1,9.712757170E-2,-1.087340117E-1,-5.681046844E-2,1.564745340E-1
3.271088510E-1,9.529497474E-2,-1.099557430E-1,-5.864306539E-2,1.568770434E-1
3.289765380E-1,9.346238524E-2,-1.191187203E-1,-6.658431143E-2,1.654024108E-1
3.311770820E-1,9.040805697E-2,-1.368338168E-1,-7.635815442E-2,1.809079266E-1
3.329920760E-1,8.857546002E-2,-1.423316002E-1,-7.819075137E-2,1.849802425E-1
3.353278510E-1,8.857546002E-2,-1.600466967E-1,-8.552113175E-2,2.019267719E-1
3.371875380E-1,8.613199741E-2,-1.740965992E-1,-9.162978828E-2,2.147658375E-1
3.393833900E-1,8.552113175E-2,-1.869247705E-1,-9.712757170E-2,2.273510479E-1
3.412114220E-1,8.307767659E-2,-1.912008226E-1,-9.529497474E-2,2.292177723E-1
3.434867740E-1,8.063421398E-2,-2.015855312E-1,-9.590584040E-2,2.373531822E-1
3.455863510E-1,7.574728876E-2,-2.144137025E-1,-1.001819000E-1,2.484900414E-1
3.475473510E-1,7.513642311E-2,-2.180788964E-1,-9.834930301E-2,2.507518146E-1
3.493451530E-1,7.635815442E-2,-2.339613885E-1,-9.712757170E-2,2.645794101E-1
3.516151210E-1,7.391469181E-2,-2.522873580E-1,-1.007927656E-1,2.815519034E-1
3.535243840E-1,7.391469181E-2,-2.712241709E-1,-1.032362282E-1,2.994722882E-1
3.557652360E-1,7.024950534E-2,-2.797762752E-1,-1.032362282E-1,3.063779952E-1
3.575417300E-1,7.147123665E-2,-3.017674387E-1,-1.062905490E-1,3.278252667E-1
3.598206210E-1,7.147123665E-2,-3.133738637E-1,-1.020144969E-1,3.372214016E-1
3.617286530E-1,7.269296050E-2,-2.962696552E-1,-9.834930301E-2,3.205192046E-1
3.639233130E-1,7.086037099E-2,-2.895501256E-1,-9.896016866E-2,3.140916783E-1
3.660659670E-1,7.635815442E-2,-2.791654170E-1,-1.014036313E-1,3.066701717E-1
3.679667740E-1,7.208210230E-2,-2.761110961E-1,-1.099557430E-1,3.058160105E-1
3.698296920E-1,7.208210230E-2,-2.779437006E-1,-1.178969890E-1,3.104001130E-1
3.720349280E-1,6.963863969E-2,-2.883284092E-1,-1.295034289E-1,3.236571485E-1
3.738439220E-1,6.475171447E-2,-3.109304011E-1,-1.453859210E-1,3.492958128E-1
3.761858510E-1,5.864306539E-2,-3.353650272E-1,-1.631010175E-1,3.775058311E-1
3.780461530E-1,5.497787148E-2,-3.530801237E-1,-1.716531366E-1,3.964252002E-1
3.802410050E-1,4.703662544E-2,-3.830125034E-1,-1.899790913E-1,4.301198403E-1
3.820750760E-1,3.481931984E-2,-4.263839424E-1,-2.119702399E-1,4.774379896E-1
3.843437740E-1,3.359758854E-2,-4.508185387E-1,-2.199114859E-1,5.027198170E-1
3.864438900E-1,2.809980139E-2,-4.972442985E-1,-2.400700450E-1,5.528789358E-1
3.883775440E-1,2.809980139E-2,-5.479460955E-1,-2.632829249E-1,6.085658723E-1
3.901714990E-1,2.687807009E-2,-6.017022729E-1,-2.877175212E-1,6.674948898E-1
3.924453900E-1,2.932153270E-2,-6.267477274E-1,-2.987131178E-1,6.949115000E-1
3.943555760E-1,3.115412779E-2,-6.750060916E-1,-3.182607889E-1,7.469228428E-1
3.965959670E-1,3.604105115E-2,-7.238753438E-1,-3.353650272E-1,7.986013850E-1
3.983707690E-1,4.337143153E-2,-7.440338731E-1,-3.469714522E-1,8.221050262E-1
4.006521590E-1,4.886921868E-2,-7.898487449E-1,-3.665191531E-1,8.721155485E-1
4.025617690E-1,5.497787148E-2,-8.289441466E-1,-3.897320330E-1,9.176393748E-1
4.047561590E-1,6.108652428E-2,-8.594874144E-1,-4.043927789E-1,9.518317596E-1
4.068992740E-1,6.902777404E-2,-8.930850029E-1,-4.208861589E-1,9.897023870E-1
4.088003900E-1,7.330382615E-2,-9.083566070E-1,-4.288274050E-1,1.007163403E0
4.106641530E-1,8.246681094E-2,-9.431759119E-1,-4.447098970E-1,1.046015520E0
4.128689280E-1,7.880161703E-2,-9.718865752E-1,-4.508185387E-1,1.074248837E0
4.146794990E-1,8.002334833E-2,-9.847147465E-1,-4.502076805E-1,1.085704298E0
4.170196590E-1,8.002334833E-2,-1.014647126E0,-4.459316432E-1,1.111200953E0
4.188742690E-1,8.063421398E-2,-1.048855662E0,-4.398229718E-1,1.140194862E0
4.210754280E-1,8.368854225E-2,-1.067792416E0,-4.337143302E-1,1.155548586E0
4.228979220E-1,8.246681094E-2,-1.097113967E0,-4.263839424E-1,1.179941989E0
4.251795430E-1,8.185594529E-2,-1.125213742E0,-4.147774875E-1,1.202017773E0
4.272794280E-1,8.002334833E-2,-1.150870085E0,-4.056145251E-1,1.222877276E0
4.292398130E-1,7.819075137E-2,-1.164309144E0,-4.019493461E-1,1.234217506E0
4.310318070E-1,7.024950534E-2,-1.181413412E0,-3.872885704E-1,1.245257034E0
4.333084280E-1,5.986479297E-2,-1.196684957E0,-3.738495409E-1,1.255150253E0
4.352140380E-1,4.459316283E-2,-1.207069755E0,-3.610213697E-1,1.260691228E0
4.374591590E-1,4.214970022E-2,-1.211956620E0,-3.506366611E-1,1.262363464E0
4.392344220E-1,2.993239649E-2,-1.229671717E0,-3.384193480E-1,1.275741406E0
4.415145820E-1,1.954768784E-2,-1.243110776E0,-3.249803185E-1,1.285036467E0
4.434169220E-1,9.773843922E-3,-1.248608589E0,-3.213151097E-1,1.289326311E0
4.456174280E-1,-6.108652451E-4,-1.266323686E0,-3.127630055E-1,1.304375999E0
4.477608130E-1,-9.773843922E-3,-1.284038782E0,-3.121521473E-1,1.321472696E0
4.496619660E-1,-2.321287990E-2,-1.299310327E0,-3.103195429E-1,1.336055531E0
4.515434990E-1,-2.871066704E-2,-1.304808140E0,-3.133738637E-1,1.342218970E0
4.537303130E-1,-4.276056588E-2,-1.308473349E0,-3.170390725E-1,1.347013268E0
4.555514610E-1,-5.864306539E-2,-1.304197311E0,-3.225368559E-1,1.344767511E0
4.578812360E-1,-7.330382615E-2,-1.294423461E0,-3.274237812E-1,1.337203006E0
4.597398450E-1,-9.529497474E-2,-1.277930140E0,-3.365867436E-1,1.324944230E0
4.619372360E-1,-1.172861308E-1,-1.250441194E0,-3.469714522E-1,1.302976747E0
4.637533450E-1,-1.356120855E-1,-1.210124016E0,-3.579670191E-1,1.269224629E0
4.660396970E-1,-1.453859210E-1,-1.186300278E0,-3.634648323E-1,1.249220597E0
4.681400050E-1,-1.649336219E-1,-1.134376764E0,-3.720169365E-1,1.205159883E0
4.701020050E-1,-1.832595766E-1,-1.076955438E0,-3.793473244E-1,1.156426167E0
4.718972690E-1,-1.960877478E-1,-1.052520871E0,-3.824016452E-1,1.136873611E0
4.741705820E-1,-2.070833147E-1,-1.005484223E0,-3.866777122E-1,1.096996662E0
4.761291530E-1,-2.168571651E-1,-9.651671052E-1,-3.946189582E-1,1.065034597E0
4.783213890E-1,-2.247984111E-1,-9.266825914E-1,-4.037819207E-1,1.035526335E0
4.801374220E-1,-2.272418737E-1,-9.059131742E-1,-4.050036669E-1,1.018010569E0
4.823770430E-1,-2.266310006E-1,-8.747590184E-1,-4.172209501E-1,9.953081292E-1
4.842788450E-1,-2.235766798E-1,-8.472700715E-1,-4.245513380E-1,9.737026982E-1
